,date,country,new_confirm,total_confirm,heal,dead
0,2020-12-04,美国,218576,14535196,8561427,282829
1,2020-12-04,印度,36595,9571559,9016289,139188
2,2020-12-04,巴西,50434,6487084,5792539,175270
3,2020-12-04,俄罗斯,27078,2382012,1872214,41730
4,2020-12-04,法国,34594,2310271,172574,54231
5,2020-12-04,西班牙,6104,1693591,196958,46038
6,2020-12-04,英国,14952,1678423,3632,60210
7,2020-12-04,意大利,23219,1664829,846809,58038
8,2020-12-04,阿根廷,7629,1447732,1274675,39305
9,2020-12-04,哥伦比亚,9233,1343322,1233115,37305
10,2020-12-04,德国,27491,1145645,819735,18135
11,2020-12-04,墨西哥,11030,1144643,843231,108173
12,2020-12-04,波兰,13236,1041846,666413,19359
13,2020-12-04,伊朗,13341,1016835,708106,49695
14,2020-12-04,秘鲁,3470,967075,901544,36076
15,2020-12-04,乌克兰,15456,808828,414347,13641
16,2020-12-04,南非,4400,800872,739367,21803
17,2020-12-04,土耳其,32381,733261,418331,14316
18,2020-12-04,比利时,2605,584857,33687,17033
19,2020-12-04,印度尼西亚,5803,563680,466178,17479
20,2020-12-04,伊拉克,1855,560622,489772,12387
21,2020-12-04,智利,1508,555406,530470,15519
22,2020-12-04,荷兰,5990,552856,7129,9703
23,2020-12-04,捷克,4621,537663,468302,8641
24,2020-12-04,罗马尼亚,8062,500273,390212,12052
25,2020-12-04,孟加拉,2252,473991,390951,6772
26,2020-12-04,菲律宾,932,436345,399345,8509
27,2020-12-04,巴基斯坦,3262,410072,350305,8260
28,2020-12-04,加拿大,5748,399770,319250,12423
29,2020-12-04,摩洛哥,4434,368624,318987,6063
30,2020-12-04,沙特阿拉伯,230,358102,347881,5930
31,2020-12-04,瑞士,4382,344497,260600,5221
32,2020-12-04,以色列,1336,341760,326966,2896
33,2020-12-04,葡萄牙,3772,307618,229018,4724
34,2020-12-04,奥地利,3815,297245,243775,3651
35,2020-12-04,瑞典,6269,278912,0,7067
36,2020-12-04,尼泊尔,1272,238861,221847,1567
37,2020-12-04,匈牙利,6212,238056,68525,5513
38,2020-12-04,约旦,4029,231237,173369,2909
39,2020-12-04,塞尔维亚,7802,199158,15913,1765
40,2020-12-04,厄瓜多尔,1008,195884,169804,13612
41,2020-12-04,哈萨克斯坦,1044,177386,149435,2482
42,2020-12-04,阿联酋,1317,172751,157035,585
43,2020-12-04,巴拿马,1880,171219,148396,3141
44,2020-12-04,日本,2431,158359,131020,2210
45,2020-12-04,保加利亚,3280,155193,57141,4503
46,2020-12-04,格鲁吉亚,5068,152704,126904,1425
47,2020-12-04,多米尼加,812,146009,115992,2335
48,2020-12-04,玻利维亚,192,145186,124015,8982
49,2020-12-04,科威特,314,143574,138674,884
50,2020-12-04,克罗地亚,3955,143370,117148,2032
51,2020-12-04,哥斯达黎加,1165,142505,91424,1757
52,2020-12-04,白俄罗斯,1701,141609,118924,1181
