,country,population
0,中国,"1,400,050,000"
1,印度,"1,354,051,854"
2,美国,"326,766,748"
3,印度尼西亚,"266,794,980"
4,巴西,"210,867,954"
5,巴基斯坦,"200,813,818"
6,尼日利亚,"195,875,237"
7,孟加拉,"166,368,149"
8,俄罗斯,"143,964,709"
9,墨西哥,"130,759,074"
10,日本,"127,185,332"
11,埃塞俄比亚,"106,672,306"
12,菲律宾,"106,512,074"
13,埃及,"99,375,741"
14,越南,"96,491,146"
15,刚果（金）,"82,643,624"
16,德国,"82,293,457"
17,伊朗,"82,011,735"
18,土耳其,"81,916,871"
19,泰国,"69,183,173"
20,英国,"66,573,504"
21,法国,"65,233,271"
22,意大利,"60,482,200"
23,坦桑尼亚,"59,091,392"
24,南非,"57,398,421"
25,缅甸,"53,855,735"
26,韩国,"51,269,185"
27,肯尼亚,"50,950,879"
28,哥伦比亚,"49,464,683"
29,西班牙,"46,397,452"
30,阿根廷,"44,688,864"
31,乌干达,"44,270,563"
32,乌克兰,"44,009,214"
33,阿尔及利亚,"42,008,054"
34,苏丹,"41,511,526"
35,伊拉克,"39,339,753"
36,波兰,"38,104,832"
37,加拿大,"36,953,765"
38,阿富汗,"36,373,176"
39,摩洛哥,"36,191,805"
40,沙特阿拉伯,"33,554,343"
41,秘鲁,"32,551,815"
42,委内瑞拉,"32,381,221"
43,乌兹别克斯坦,"32,364,996"
44,马来西亚,"32,042,458"
45,安哥拉,"30,774,205"
46,莫桑比克,"30,528,673"
47,尼泊尔,"29,624,035"
48,加纳,"29,463,643"
49,也门,"28,915,284"
50,马达加斯加,"26,262,810"
51,朝鲜,"25,663,011"
52,科特迪瓦,"24,905,843"
53,澳大利亚,"24,772,247"
54,喀麦隆,"24,678,234"
55,尼日尔,"22,311,375"
56,斯里兰卡,"20,950,041"
57,布基纳法索,"19,751,651"
58,罗马尼亚,"19,580,634"
59,马拉维,"19,164,728"
60,马里,"19,107,706"
61,哈萨克斯坦,"18,403,860"
62,叙利亚,"18,284,407"
63,智利,"18,197,209"
64,赞比亚,"17,609,178"
65,危地马拉,"17,245,346"
66,荷兰,"17,084,459"
67,津巴布韦,"16,913,261"
68,厄瓜多尔,"16,863,425"
69,塞内加尔,"16,294,270"
70,柬埔寨,"16,245,729"
71,乍得,"15,353,184"
72,索马里,"15,181,925"
73,几内亚,"13,052,608"
74,南苏丹,"12,919,053"
75,卢旺达,"12,501,156"
76,突尼斯,"11,659,174"
77,比利时,"11,498,519"
78,古巴,"11,489,082"
79,贝宁,"11,485,674"
80,布隆迪,"11,216,450"
81,玻利维亚,"11,215,674"
82,希腊,"11,142,161"
83,海地,"11,112,945"
84,多明尼加共和国,"10,882,996"
85,捷克,"10,625,250"
86,葡萄牙,"10,291,196"
87,瑞典,"9,982,709"
88,阿塞拜疆,"9,923,914"
89,约旦,"9,903,802"
90,匈牙利,"9,688,847"
91,阿联酋,"9,541,615"
92,白俄罗斯,"9,452,113"
93,洪都拉斯,"9,417,167"
94,塔吉克斯坦,"9,107,211"
95,塞尔维亚,"8,762,027"
96,奥地利,"8,751,820"
97,瑞士,"8,544,034"
98,以色列,"8,452,841"
99,巴布亚新几内亚,"8,418,346"
100,多哥,"7,990,926"
101,塞拉利昂,"7,719,729"
102,保加利亚,"7,036,848"
103,老挝,"6,961,210"
104,巴拉圭,"6,896,908"
105,利比亚,"6,470,956"
106,萨尔瓦多,"6,411,558"
107,尼加拉瓜,"6,284,757"
108,吉尔吉斯斯坦,"6,132,932"
109,黎巴嫩,"6,093,509"
